p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
0.306498125323271	-0.0906717395929861	0.817	0.864	1	Wdr43	Tpex
0.306879498412682	-0.0505209150598245	0.442	0.491	1	Mef2d	Tpex
0.306995345336545	-0.0620021925440479	0.812	0.887	1	Nono	Tpex
0.307217093709853	-0.0326404134939933	0.615	0.687	1	Slc25a11	Tpex
0.307261092859517	-0.0429185136793675	0.577	0.638	1	Flii	Tpex
0.307314453886798	-0.0340846554817507	0.409	0.464	1	Cndp2	Tpex
0.307399959478896	0.0852870476638887	0.702	0.702	1	Rnf213	Tpex
0.307503670269511	-0.0383751286540304	0.769	0.785	1	Mapre1	Tpex
0.307662599806858	-0.014248674067676	0.356	0.415	1	Rad17	Tpex
0.307712178186703	-0.0404222349084093	0.793	0.804	1	Kpna4	Tpex
0.308054218386523	-0.0603560343533671	0.865	0.838	1	Ndufs6	Tpex
0.308692155223521	-0.0625701154538785	0.692	0.732	1	Setd5	Tpex
0.309010505981573	-0.0193812539671774	0.308	0.366	1	Dph6	Tpex
0.309124447114473	-0.0507190945821658	0.365	0.419	1	2900097C17Rik	Tpex
0.309368503599726	-0.029676680775305	0.293	0.34	1	G2e3	Tpex
0.309801812912255	0.108272102993231	0.611	0.574	1	Cd200	Tpex
0.310327014142332	-0.0297084073999623	0.481	0.543	1	Stim1	Tpex
0.31053611695156	-0.00463961908143151	0.452	0.528	1	Zdhhc3	Tpex
0.310614972595078	0.0673970724166335	0.707	0.725	1	Tlk1	Tpex
0.310704154548652	0.0212991292174416	0.923	0.925	1	1810037I17Rik	Tpex
0.31078303417316	-0.0441580602365967	0.942	0.958	1	Ssb	Tpex
0.310797506632767	-0.0528455361206621	0.952	0.97	1	Pkm	Tpex
0.310924777925206	-0.019388014972288	0.385	0.457	1	Jmjd6	Tpex
0.311164468091105	-0.0426719022131472	0.567	0.634	1	Irak1	Tpex
0.311172482273358	-0.0355052321462904	0.471	0.525	1	Mtf2	Tpex
0.311773367856317	0.0523232168637439	0.332	0.302	1	Atp6v0a2	Tpex
0.311854481085259	0.0592717655155759	0.361	0.328	1	Dtnbp1	Tpex
0.311936488800679	-0.0623686097149589	0.827	0.868	1	Peli1	Tpex
0.312638549179506	-0.060601790316699	0.534	0.589	1	Snrpa1	Tpex
0.312901164875437	-0.0323197483793689	0.611	0.706	1	Acbd6	Tpex
0.312934937810877	-0.00870876131036702	0.317	0.381	1	Prkag1	Tpex
0.312984347725295	0.0525241084674112	0.481	0.464	1	Aph1a	Tpex
0.313115626516283	-0.0443790142340256	0.673	0.762	1	Casp8	Tpex
0.313327614321625	-0.0626018573195298	0.38	0.355	1	H4c8	Tpex
0.313453142670596	0.0739331699303178	0.909	0.932	1	Prdx1	Tpex
0.313920208503501	-0.0424334922208734	0.365	0.411	1	Mtpap	Tpex
0.31396429120077	0.0879290817550029	0.76	0.747	1	Zap70	Tpex
0.313980715190929	-0.0226004006317565	0.481	0.558	1	Vezf1	Tpex
0.314004393020391	-0.0591973604196361	0.721	0.792	1	Rbm22	Tpex
0.314102504650933	0.087447385093582	0.721	0.725	1	Zup1	Tpex
0.314216198872773	-0.0178290533457872	0.303	0.366	1	Aasdhppt	Tpex
0.314398773598625	-0.0726418118754093	0.808	0.815	1	Rbm8a	Tpex
0.314521860664958	-0.0948010328469335	0.947	0.958	1	Celf2	Tpex
