p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
9.63020601247536e-51	-0.291626963537948	1	1	2.04295190348652e-46	Rack1	Tex-term
1.82850814660071e-47	-0.27088078220867	1	1	3.87899718219874e-43	Rps15	Tex-term
3.11597762548387e-43	-0.28052855088303	1	1	6.61023493470147e-39	Rpl23a	Tex-term
2.88520703295737e-42	0.322609598894397	1	1	6.12067819971577e-38	Ubb	Tex-term
2.6739318747598e-37	0.197936367073194	1	1	5.67247907911543e-33	Rps10	Tex-term
5.74184423412902e-36	0.253491862968982	1	0.997	1.21807483582813e-31	Serf2	Tex-term
7.41563894258963e-34	-0.348412866165961	0.996	0.994	1.57315364528097e-29	mt-Rnr1	Tex-term
7.48156631293625e-33	0.309324725536878	0.982	0.976	1.5871394776263e-28	Myl12b	Tex-term
1.72885618557966e-29	-0.151126176377213	1	1	3.6675955120887e-25	Tpt1	Tex-term
3.01664663805041e-29	-0.236688466098385	0.153	0.37	6.39951417796013e-25	Snx9	Tex-term
9.10149546398902e-28	-0.250114693814104	0.995	1	1.93079124773063e-23	Rpl4	Tex-term
1.27286674751938e-27	0.17065024241423	1	1	2.7002595181876e-23	Rpl27	Tex-term
4.66571132545333e-27	-0.219829747068609	1	1	9.8978400058167e-23	Rpl12	Tex-term
5.87277732628331e-26	-0.210650124646504	1	0.999	1.24585098199774e-21	Rpl5	Tex-term
8.41775810673536e-26	0.273560702130039	0.954	0.886	1.78574320476284e-21	Gm11808	Tex-term
1.14477874243918e-25	-0.237395598539691	1	1	2.42853362421048e-21	Rps19	Tex-term
1.73146942319691e-25	-0.180699141009518	1	1	3.67313923436992e-21	Rps18	Tex-term
2.2893482803551e-23	-0.160218771661529	1	1	4.85662344194532e-19	Rplp1	Tex-term
6.41961900074251e-23	0.218817670260719	1	1	1.36185797481752e-18	Nkg7	Tex-term
1.00704837337475e-22	0.280016785638063	0.904	0.803	2.13635241927721e-18	Rn7sk	Tex-term
1.5512800962065e-22	-0.229843403259456	0.999	1	3.29088559609247e-18	Rps17	Tex-term
8.1903131359135e-22	0.162504269750788	1	1	1.73749302865269e-17	Rpl24	Tex-term
1.73666009600714e-21	-0.142885007542681	1	1	3.68415072766955e-17	Rps14	Tex-term
1.76171639363212e-21	-0.190430206896729	1	1	3.73730515745118e-17	mt-Rnr2	Tex-term
1.7764470821733e-21	0.186273693278267	1	0.998	3.76855484012244e-17	Rpl36al	Tex-term
7.5517520271973e-21	-0.193582214621493	1	1	1.60202867504963e-16	Ddx5	Tex-term
8.15102763677701e-21	0.202358287848769	1	1	1.72915900286587e-16	H2-D1	Tex-term
9.79694363784924e-21	-0.147440857051746	1	1	2.07832362333334e-16	Rpl26	Tex-term
1.44719779059185e-19	0.140058073972027	1	1	3.07008539296156e-15	Rpl27a	Tex-term
5.08382026575702e-19	0.23971290957273	1	0.999	1.0784816311777e-14	AW112010	Tex-term
1.29720531843531e-18	-0.281072795178974	0.916	0.963	2.75189136252867e-14	Inpp4b	Tex-term
3.14656419563916e-18	-0.118705878219305	1	1	6.67512128462891e-14	Rplp2	Tex-term
6.36504830971482e-18	-0.123912896944139	1	1	1.3502813484229e-13	Rpl17	Tex-term
1.00799218356312e-17	0.195610531162392	0.999	1	2.13835461821081e-13	Hspa8	Tex-term
1.79020567793291e-17	0.240658968579254	0.997	0.997	3.79774232516688e-13	Itm2b	Tex-term
7.24735400022923e-17	-0.269465175969883	0.993	0.997	1.53745367760863e-12	Ahnak	Tex-term
1.90880013303091e-16	-0.228377617036963	0.981	0.994	4.04932860221176e-12	mt-Nd2	Tex-term
2.01660252035379e-16	0.153771190449331	0.999	1	4.27802058667853e-12	Oaz1	Tex-term
5.00807487765877e-16	0.20431089724595	0.961	0.949	1.06241300454653e-11	Atp5l	Tex-term
6.58754965677359e-16	0.227181510524259	0.933	0.881	1.39748278418795e-11	Rnaset2a	Tex-term
7.51949273198505e-16	-0.198290880905042	0.979	0.989	1.59518518816331e-11	Cox7a2l	Tex-term
7.98800621764542e-16	-0.123400047157029	1	1	1.6945756390113e-11	Rps23	Tex-term
8.61831906605882e-16	0.228252300679526	0.886	0.825	1.82829020667372e-11	Rnaset2b	Tex-term
3.68690933499474e-15	0.151066326276912	1	0.998	7.82140946325783e-11	Rpl15	Tex-term
3.82818874902984e-15	0.172966900980828	0.998	0.997	8.1211196121919e-11	Arpc1b	Tex-term
8.53546821511904e-15	-0.103317474612557	1	1	1.81071422715535e-10	Rps29	Tex-term
1.17465828498067e-14	0.370559156118979	0.913	0.876	2.49192008575799e-10	Zfp36l2	Tex-term
1.48584942834252e-14	-0.218414037728668	0.906	0.954	3.15208097728581e-10	Nop53	Tex-term
2.46601726563382e-14	-0.298589406366706	0.916	0.958	5.23140902731558e-10	Dennd4a	Tex-term
3.62734272176557e-14	0.227390536245956	0.982	0.986	7.69504484995348e-10	H2-T23	Tex-term
4.07675355843184e-14	-0.17672582968476	0.998	0.999	8.6484249988573e-10	Rpl31	Tex-term
5.22860434585364e-14	0.119700774534599	1	1	1.10919612592939e-09	Rpl18	Tex-term
1.30121897692647e-13	0.113229579390832	1	1	2.76040593765181e-09	Rpl30	Tex-term
1.72003461667017e-13	-0.184703239185044	0.998	1	3.6488814358041e-09	Ptprc	Tex-term
4.67389822896225e-13	0.204393705948861	0.994	0.989	9.91520770292051e-09	Selenow	Tex-term
4.8566530380736e-13	-0.282670498020132	0.712	0.809	1.03029037549693e-08	Odc1	Tex-term
6.329589940082e-13	-0.23764390047957	0.747	0.854	1.342759209889e-08	Atp8b4	Tex-term
6.73335783672179e-13	-0.229088171120787	0.987	0.991	1.42841453148216e-08	Ncl	Tex-term
8.08908955254284e-13	0.140351303578564	1	1	1.71601945767644e-08	Pfn1	Tex-term
8.77489926737141e-13	-0.183948963781951	0.966	0.983	1.86150713058017e-08	Eef1g	Tex-term
1.69903201541836e-12	0.201693440058599	0.996	0.993	3.6043265175085e-08	Tspo	Tex-term
1.91592249753124e-12	-0.233668211575181	0.843	0.912	4.06443798626278e-08	Macf1	Tex-term
1.9461941485369e-12	-0.171642936560923	0.998	0.997	4.12865626670617e-08	Npm1	Tex-term
3.35220139555611e-12	0.167860441368849	0.984	0.978	7.11136004053274e-08	Ndufa3	Tex-term
4.16557917683205e-12	-0.179225402149704	0.984	0.992	8.8368596657315e-08	mt-Nd1	Tex-term
4.45443395541177e-12	-0.203617674481467	0.897	0.958	9.44963619301054e-08	Fus	Tex-term
7.00731855806656e-12	-0.236837285051098	0.836	0.887	1.48653255890824e-07	Ptpn6	Tex-term
7.9386289035183e-12	-0.208979553481272	0.845	0.916	1.68410073559237e-07	mt-Nd5	Tex-term
9.64835594889683e-12	0.215000500703679	0.902	0.881	2.04680223099897e-07	Ech1	Tex-term
1.67630015584167e-11	0.191021051930884	0.738	0.642	3.55610315060252e-07	Gm10177	Tex-term
