p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
0.716472814281459	-0.0811084956389507	0.608	0.707	1	Cope	3
0.71666256033496	-0.0663147642671162	0.333	0.366	1	Apc	3
0.716918749989952	-0.0179320071755704	0.373	0.431	1	D10Wsu102e	3
0.717400621910739	0.122337621467575	0.686	0.707	1	Rtn4	3
0.717456247853769	-0.0301166447013851	0.51	0.618	1	Synrg	3
0.717460849049953	-0.0424735318255252	0.784	0.805	1	Ddx6	3
0.717631185463899	0.107644511673062	0.373	0.415	1	Rsad2	3
0.71776151912152	0.0221418795502605	0.314	0.293	1	Gosr1	3
0.718188907450266	-0.0689483026229696	0.686	0.74	1	Ubn1	3
0.718239803645691	-0.0403124120011383	0.294	0.325	1	Agpat4	3
0.718303945464743	0.0381321287700579	0.314	0.358	1	Osgep	3
0.718367990101059	-0.0127412178067257	0.294	0.341	1	Tmem60	3
0.719024620752969	0.0613240817990302	0.353	0.423	1	Pdcd1lg2	3
0.719906522497086	-0.0506976683427567	0.686	0.707	1	Ndufab1	3
0.720878577180335	0.0609698964246124	0.784	0.78	1	Cct7	3
0.721333096070681	0.0978529249834019	0.314	0.333	1	Fxr2	3
0.721502611461282	-0.0294111859498045	0.647	0.691	1	Timm23	3
0.721617810428292	-0.0569712755272825	0.412	0.431	1	Gnl3	3
0.722761252073374	-0.0416449230416382	0.784	0.837	1	Ndufb5	3
0.72279642013933	0.027929795547316	0.333	0.317	1	Thoc3	3
0.722898159372093	0.0940810522050888	0.784	0.854	1	Trmt112	3
0.723245475102721	0.0576440341971153	0.627	0.675	1	Lims1	3
0.723407199474539	0.0242302350405013	0.549	0.618	1	Sipa1l1	3
0.72351310272867	-0.139137348170914	1	1	1	Gapdh	3
0.723576668868745	0.219061841362905	0.667	0.846	1	Atp2b1	3
0.723772987267022	-0.0738753291446004	0.588	0.707	1	Fam133b	3
0.725908774345279	0.0139495885887035	0.902	0.919	1	Ostc	3
0.725992678679676	0.0611171718935153	1	1	1	Chchd2	3
0.726288351039499	0.0513864692986332	0.49	0.577	1	Ddx42	3
0.726402798408901	0.0164693530452977	0.51	0.496	1	Cbfb	3
0.726560455344958	0.020683535890895	0.824	0.829	1	Cast	3
0.726596645567481	-0.0545823304161873	0.333	0.374	1	Txk	3
0.726766593451628	-0.033094756000224	0.451	0.463	1	Arsb	3
0.727250593007497	-0.0181630345749557	0.294	0.325	1	Fh1	3
0.727770360327965	0.0289474889154263	0.353	0.415	1	Pik3ca	3
0.728434155755042	0.160286693811875	0.373	0.39	1	Snx20	3
0.728474978223659	0.0148148488235513	1	1	1	Rps20	3
0.728602526267967	0.139981812779051	0.549	0.593	1	Vti1b	3
0.728718271033451	0.0207494368244032	0.294	0.35	1	Triobp	3
0.729006740442193	-0.0112485992990869	0.353	0.382	1	Txlna	3
0.729253345901986	0.060447992278154	0.667	0.805	1	Dusp5	3
0.729379178525424	0.0466099590738609	0.569	0.553	1	Taok3	3
0.729472338443693	-0.0221900105375665	0.412	0.48	1	Tmem189	3
0.729688592534696	0.0533535756593719	0.451	0.528	1	Zfp106	3
0.729704626470264	-0.0142403683940278	0.941	0.959	1	Gabarap	3
0.730156612632933	0.0400938019663957	0.373	0.382	1	Gid8	3
0.730310712340656	0.109423249393984	0.588	0.561	1	Atg3	3
0.730596182665042	0.0289120936110871	0.451	0.447	1	Rapgef1	3
0.732177057901113	-0.0543220536532346	0.392	0.423	1	Card19	3
0.732720875646959	-0.0414118333089781	0.784	0.837	1	Ndufb8	3
0.732800924731484	-0.0473633151777381	0.51	0.569	1	Itgav	3
0.733080198183985	0.0743550851139051	0.314	0.293	1	Plcxd2	3
0.733164464423619	0.0162210168589788	0.314	0.341	1	Nrn1	3
0.733183732421157	-0.0220767502586064	0.275	0.317	1	Lpgat1	3
