HD276_Trest	HD280_Trest	HD286_Trest	HD287_Trest	HD276_Ttumor	HD280_Ttumor	HD286_Ttumor	HD287_Ttumor	HD276_Teff	HD280_Teff	HD286_Teff	HD287_Teff	HD276_Tex	HD280_Tex	HD286_Tex	HD287_Tex	SYMBOL	cluster
-0.0706805755225307	-0.863761484809579	-0.822835837273076	-0.277466335896216	-0.697718571765669	-0.553865320277593	-0.730265033257363	-1.25476219500238	2.05767901255762	1.17162001310727	1.351255879398	1.5619754137828	0.120344864447459	-0.730119034045249	0.133366725224129	-0.394767520667609	MT-ND4	2
-0.3836799263702	-0.407962335843757	-0.266852537707447	-0.467529982417266	-1.2021766826596	-0.158493087493057	-0.197412415777956	-1.77572005572103	1.04025238089568	1.56255124058248	1.57736952339796	1.51983257970362	-0.463639806015069	-0.545515686377629	0.749904348903474	-0.580927557100205	MT-ATP6	3
-0.557566197814517	-0.119033408205459	-0.0336121484424307	-0.3354597854558	0.828796130201936	0.776915497108812	0.937283482267556	0.761673023235822	-1.88205051112972	-1.37276141711228	-1.03430084731099	-1.47096279278558	0.903994094588249	0.993939065706374	0.9774774926447	0.625668322503336	CCL5	5
0.539663906628739	0.964766478997068	0.913271011590353	1.25007529462606	0.0921527011446517	0.564483884146834	1.01443208506653	-0.0133503493532303	-1.58334748763905	-1.44555247958939	-0.979065381724967	-1.76124557239357	-0.0609838277054326	0.816989246344719	0.412947685763103	-0.725237195902397	B2M	6
-0.466638045737293	0.785187570017185	0.594369971918921	0.0308931666437392	0.675379339329783	1.061098729807	1.24057276857916	0.555936868201672	-2.17655131136883	-1.02336873106674	-0.813535595334012	-1.63126379583881	-0.188478947724231	0.550523456476119	0.955434700555909	-0.149560144459561	AHNAK	5
-0.702103296102231	-0.670358135841765	-0.564435605455414	-1.03968100250711	-0.560240755178587	-0.464885613918374	-0.730721113631247	-0.221400278455889	2.11218038190329	1.11500014228328	1.70099859766526	1.37131351929125	-0.523396132903258	-0.869604332173855	-0.10953097593282	0.156864600957473	GAPDH	2
-0.375903708634345	-0.343513116202142	-0.360906856044722	-0.466675830733058	-1.19983019329156	-0.126773733740242	-0.286131605443705	-1.76020890734711	1.01805187853953	1.61577336889007	1.48022173334504	1.61437940045168	-0.484382733375585	-0.596072500881487	0.72140940669158	-0.449436602223925	MT-ATP8	3
-1.69750211841576	-0.155436185381892	-0.732999207959569	-1.19532792078413	0.599032328281099	1.77284207105298	1.2136879913869	1.79202583721035	-0.612278223886168	0.316110160379753	0.0511865235248894	-0.928908248612923	-0.71513135428577	0.172944044665535	0.223020796434666	-0.103266493610003	FLNA	5
0.138111630472849	-0.72835431937776	-0.443006894565759	-0.0130433662339406	-1.17124278979747	-0.568243933599478	-0.52689312558491	-1.75283604813618	1.74069194350704	1.1678588585399	1.42102785627179	1.45623729350048	0.00860463348852793	-0.616320346892949	0.323918261991165	-0.436509653583284	MT-ND4L	3
0.493121594059705	0.96329621275476	0.625098786004512	0.81150883579572	0.782701510162646	0.626218102576578	0.649859023088902	0.921438795732694	-2.27803639177445	-1.01750033260851	-1.50854555331062	-1.36445740360375	0.359385362596099	0.0522764947239237	-0.0222106985350826	-0.0941543376631313	RNF213	6
-0.0875582234654245	0.933202635613493	0.227830277008985	0.482915374485711	0.854056818182169	1.01020355727705	0.615413766830327	1.20091608823863	-2.31101855585423	-1.15235068250836	-1.36078315099267	-0.86474499954257	-0.588422445182498	0.749204875450063	-0.00827105387817803	0.299405718337492	ITGAL	5
-0.426353715413896	-1.41949350051178	-1.38259556842149	-1.36858576116972	-0.121150321243718	0.0603975689088353	-0.128526519316513	0.371795350660085	1.32486620659156	1.12647675199398	1.68637101571176	0.683708120048388	-1.3502482929735	0.214171886571439	-0.0685335838866526	0.797700362451261	EEF2	2
-0.0162075251529923	-0.243184429725432	-0.217422569085264	0.00595626443652711	0.541647505132227	0.583482437305926	0.867888662130698	-0.122188984614829	-1.72844230553581	-1.40337143801172	-1.34029463357595	-1.2207291546115	1.58873735841312	1.16655490625118	1.06941868280253	0.468155223841305	OGT	5
0.462278610097469	0.124899886454544	0.14693112317018	0.652811605705752	0.502214237773172	0.333244841037952	0.867884842902589	-0.107075198923396	-1.80944501976465	-1.60391501334802	-1.57966504889786	-1.32084029924432	1.13052690218591	0.986478986952742	0.852458602709689	0.361210941188215	DDX17	5
-0.115649553589395	-0.163562262281623	-0.00826360026197369	-0.380367371760499	-0.520906990561205	-0.763181944079268	-0.685558077810042	-0.34755439905671	2.23606959858969	1.17010813121101	1.58745541671458	1.30264957771263	-0.730167982526799	-0.99024617339336	-0.847303743343131	-0.743520625563912	ENO1	3
0.0569287166219869	-0.853111174826662	-0.721278241820016	-0.651503567584493	-0.526334765818452	-0.60815752089974	-1.02912322393961	-0.732873318374755	2.17440546588703	1.15342090098452	1.41155826735793	1.40974344185302	-0.962773733561872	-0.305191613601607	0.0381516408714915	0.146138726851247	RPS6	3
-0.113004786397747	-0.8826801115073	-0.769267505314572	-0.57925706316985	-0.380873986926799	-0.444015540779663	-0.683447129028105	-0.0754298752180339	1.88420150160517	1.16911771661756	1.47081691588598	1.31165240221004	-1.79881438630104	-0.468312858899606	-0.0899724320053508	0.449287139229299	RPL3	3
-2.38709154103045	-0.298895808370257	-0.274398304726551	-0.55053149088162	-0.681711030267019	0.808504064153883	0.542916472854018	0.374558826534626	-1.25692974773706	-0.600813259518754	0.789824973027126	-0.476472518918033	1.37439437072499	0.93132254937812	1.22584492136666	0.479477523410315	GNLY	1
