	NGenes	Direction	PValue	FDR	meanlogfc	geneset	contrast
49	98	Up	0.2133462398202	0.24179240512956	0.0884410320042343	ZNF683pos-CXCR6pos-Trm	Tex_vs_Trest
50	98	Up	0.548147029516685	0.582406218861478	0.0499046480320095	GZMKpos-Tem	Tex_vs_Trest
51	85	Down	0.707932207726603	0.707932207726603	-0.0588154595598197	Il7R-Tm	Tex_vs_Trest
52	73	Down	1.5680782128348e-12	2.66573296181916e-11	-0.906963267565864	ZNF683pos-CXCR6neg-Tm	Teff_vs_Ttumor
53	98	Up	7.21718903924459e-11	6.1346106833579e-10	1.59835109799413	NME1pos-T	Teff_vs_Ttumor
54	92	Down	1.66992690219792e-10	9.46291911245487e-10	-1.35114239983481	Temra	Teff_vs_Ttumor
55	94	Up	3.32756956670808e-08	1.41421706585093e-07	1.26864462634997	Tex-term	Teff_vs_Ttumor
56	79	Up	0.00048253708019035	0.00164062607264719	0.835571317938751	TCF7pos-Tex	Teff_vs_Ttumor
57	96	Up	0.000959960278015538	0.00263572993335597	0.200832051127607	Tn	Teff_vs_Ttumor
58	43	Up	0.00108530056079364	0.00263572993335597	0.894353909538018	OXPHOSneg-Tex	Teff_vs_Ttumor
59	98	Down	0.00178013380710155	0.00378278434009079	-0.418964273730353	GZMKpos-Tem	Teff_vs_Ttumor
60	85	Down	0.0239591588792357	0.0407305700947007	-0.476829441186219	ISGpos-CD8pos-T	Teff_vs_Ttumor
61	85	Down	0.0239591588792357	0.0407305700947007	-0.476829441186219	Tc17	Teff_vs_Ttumor
62	85	Down	0.0293810048032501	0.0454070074232046	-0.458091895916592	GZMKpos-earlyTem	Teff_vs_Ttumor
63	90	Down	0.04734672186885	0.0670745226475375	-0.362557743226805	KIRpos-EOMESpos-NK-like	Teff_vs_Ttumor
64	6	Up	0.194201838180523	0.253956249928377	0.322796467516867	uncharacterized	Teff_vs_Ttumor
65	96	Up	0.321535980645845	0.390436547927097	0.225250502533769	GZMKpos-Tex	Teff_vs_Ttumor
66	89	Down	0.50454011812273	0.571812133872428	0.0375896641427641	KIRpos-TXKpos-NK-like	Teff_vs_Ttumor
67	98	Down	0.63233740398747	0.671858491736687	0.00282377829202362	ZNF683pos-CXCR6pos-Trm	Teff_vs_Ttumor
68	85	Down	0.807304676986845	0.807304676986845	0.00763323215064578	Il7R-Tm	Teff_vs_Ttumor
69	94	Up	3.56344123538369e-23	6.05785010015228e-22	0.829866623653468	Tex-term	Tex_vs_Ttumor
70	79	Up	3.68819798158099e-16	3.13496828434384e-15	0.733931963396192	TCF7pos-Tex	Tex_vs_Ttumor
71	43	Up	4.50425392986196e-13	2.55241056025511e-12	0.649219056937899	OXPHOSneg-Tex	Tex_vs_Ttumor
72	98	Down	1.28333311978124e-08	5.45416575907028e-08	-0.293431627614827	GZMKpos-Tem	Tex_vs_Ttumor
73	92	Down	7.68300080012558e-08	2.6122202720427e-07	-0.349049284541083	Temra	Tex_vs_Ttumor
74	73	Down	1.10288628633885e-07	3.12484447796007e-07	-0.276420358871925	ZNF683pos-CXCR6neg-Tm	Tex_vs_Ttumor
75	89	Up	2.63387334326831e-05	6.39654954793731e-05	0.419038628633997	KIRpos-TXKpos-NK-like	Tex_vs_Ttumor
76	98	Down	0.000486007106368364	0.00103276510103277	-0.31149594550559	NME1pos-T	Tex_vs_Ttumor
77	96	Up	0.000805878788581197	0.00152221548954226	0.149546667761498	Tn	Tex_vs_Ttumor
78	85	Down	0.0018430409942801	0.00284833608206924	-0.195568479391585	ISGpos-CD8pos-T	Tex_vs_Ttumor
79	85	Down	0.0018430409942801	0.00284833608206924	-0.195568479391585	Tc17	Tex_vs_Ttumor
80	85	Down	0.00999019673029905	0.014152778701257	-0.207640559523139	GZMKpos-earlyTem	Tex_vs_Ttumor
81	98	Down	0.114883820711768	0.150232688623081	-0.0253272134731982	ZNF683pos-CXCR6pos-Trm	Tex_vs_Ttumor
82	6	Up	0.141510960138748	0.171834737311337	0.140291403702414	uncharacterized	Tex_vs_Ttumor
83	90	Down	0.193803414551913	0.219643869825501	-0.0935098142163356	KIRpos-EOMESpos-NK-like	Tex_vs_Ttumor
84	85	Down	0.285479445745576	0.303321911104675	-0.0613106719175446	Il7R-Tm	Tex_vs_Ttumor
85	96	Up	0.511902996062095	0.511902996062095	0.034407712011866	GZMKpos-Tex	Tex_vs_Ttumor
86	98	Down	1.7540221503922e-16	2.98183765566674e-15	-1.90984704349972	NME1pos-T	Tex_vs_Teff
87	73	Up	1.58426030284737e-08	1.34662125742026e-07	0.630542908693939	ZNF683pos-CXCR6neg-Tm	Tex_vs_Teff
88	92	Up	5.22998261900112e-07	2.96365681743397e-06	1.00209311529372	Temra	Tex_vs_Teff
89	89	Up	0.0180434271717307	0.0766845654798555	0.381448964491233	KIRpos-TXKpos-NK-like	Tex_vs_Teff
90	96	Down	0.0249529164846824	0.083353124516969	-0.0512853833661093	Tn	Tex_vs_Teff
91	94	Down	0.0294187498295185	0.083353124516969	-0.438778002696498	Tex-term	Tex_vs_Teff
92	90	Up	0.0997710138972337	0.242301033750425	0.269047929010469	KIRpos-EOMESpos-NK-like	Tex_vs_Teff
93	85	Up	0.177567309869794	0.343443815975287	0.250451336393453	GZMKpos-earlyTem	Tex_vs_Teff
94	85	Up	0.20202577410311	0.343443815975287	0.281260961794634	ISGpos-CD8pos-T	Tex_vs_Teff
95	85	Up	0.20202577410311	0.343443815975287	0.281260961794634	Tc17	Tex_vs_Teff
96	98	Up	0.259690330214991	0.40133960124135	0.125532646115526	GZMKpos-Tem	Tex_vs_Teff
97	96	Down	0.375516319494776	0.531981452617599	-0.190842790521903	GZMKpos-Tex	Tex_vs_Teff
98	6	Down	0.411381463004388	0.537960374698046	-0.182505063814453	uncharacterized	Tex_vs_Teff
99	43	Down	0.456843263353976	0.554738248358399	-0.245134852600119	OXPHOSneg-Tex	Tex_vs_Teff
100	79	Down	0.52193001721675	0.591520686178983	-0.10163935454256	TCF7pos-Tex	Tex_vs_Teff
101	85	Down	0.884240983778938	0.90120903374537	-0.0689439040681904	Il7R-Tm	Tex_vs_Teff
102	98	Down	0.90120903374537	0.90120903374537	-0.0281509917652218	ZNF683pos-CXCR6pos-Trm	Tex_vs_Teff
