SYMBOL	ES
PKM	0.17 
PTPN22	0.17 
FAM53B	0.17 
AIF1	0.16 
NR4A2	0.16 
OASL	0.16 
NR5A2	0.16 
STK17B	0.16 
SAT1	0.16 
LCK	0.16 
TXNDC11	0.16 
DGKH	0.16 
DYNLRB1	0.16 
GBP2	0.16 
SFMBT2	0.16 
RHOA	0.16 
S100PBP	0.16 
ZC3H7A	0.16 
IDH2	0.16 
FAM46C	0.16 
TRPC4AP	0.16 
UBE2F	0.16 
ATPIF1	0.16 
GABARAP	0.16 
SH3KBP1	0.16 
ABCG1	0.16 
RDH10	0.16 
PPP1R16B	0.16 
ABI3	0.16 
ITGAE	0.16 
DENND2D	0.16 
RHOB	0.16 
GIMAP4	0.16 
CARS	0.15 
LBH	0.15 
HMGN1	0.15 
DTX3	0.15 
KDELR2	0.15 
NEDD9	0.15 
PSMB10	0.15 
IKZF2	0.15 
SYT11	0.15 
MSI2	0.15 
NAP1L4	0.15 
CFLAR	0.15 
HLA-DOA	0.15 
UBE2L6	0.15 
CKAP2	0.15 
ZNF79	0.15 
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
