SYMBOL	ES
NME3	0.19 
SRGAP3	0.18 
CARHSP1	0.18 
RPS10	0.18 
SIPA1L1	0.18 
PFDN5	0.18 
NBEAL1	0.18 
EVC	0.18 
SV2A	0.18 
RPL41	0.18 
PGLS	0.18 
ISCU	0.18 
ALKBH7	0.18 
WBP1	0.18 
TACC3	0.18 
COX4I1	0.18 
EDF1	0.18 
TMBIM4	0.18 
MZT2A	0.18 
PABPC1	0.18 
SLC35A2	0.18 
IL10RB	0.18 
ZBED5	0.18 
STAMBPL1	0.18 
ITPKB	0.18 
LIMD2	0.18 
TMEM134	0.17 
AMPD3	0.17 
ZNF292	0.17 
RANGAP1	0.17 
PHB2	0.17 
RPL34	0.17 
RPUSD3	0.17 
GOLGA8B	0.17 
ZNF638	0.17 
RPL23	0.17 
COMMD6	0.17 
GDI2	0.17 
CD151	0.17 
MTA3	0.17 
TSPO	0.17 
CRTAP	0.17 
BTF3L4	0.17 
GRB2	0.17 
SMARCE1	0.17 
CARS	0.17 
NPAT	0.17 
EVC2	0.17 
DALRD3	0.17 
TOMM34	0.17 
SDCCAG8	0.17 
WDR83OS	0.17 
APEX1	0.17 
C1orf43	0.17 
EIF2S3	0.17 
HMGN3	0.16 
C19orf53	0.16 
TCEAL8	0.16 
ALDH6A1	0.16 
SRFBP1	0.16 
TAF9B	0.16 
RPL35A	0.16 
ERGIC3	0.16 
TMEM2	0.16 
RPL22L1	0.16 
ZNF610	0.16 
EIF2D	0.16 
TSPAN14	0.16 
SH3KBP1	0.16 
COX8A	0.16 
C6orf48	0.16 
SPTAN1	0.16 
CEP170	0.16 
SCCPDH	0.16 
ANAPC16	0.16 
MAN2B1	0.16 
MRPL3	0.16 
HNRNPK	0.16 
MRPS21	0.16 
C20orf196	0.16 
TMEM256-PLSCR3	0.16 
P2RY10	0.16 
MBOAT7	0.16 
TSR3	0.16 
ASNS	0.15 
COX5B	0.15 
MRPL35	0.15 
NSF	0.15 
NPM1	0.15 
IMPDH2	0.15 
ATP5D	0.15 
NDUFB1	0.15 
NDUFAF3	0.15 
NUDT21	0.15 
RNFT1	0.15 
MEAF6	0.15 
PCMTD2	0.15 
BANF1	0.15 
ASAP1	0.15 
SFXN2	0.15 
CTTNBP2NL	0.15 
DLD	0.15 
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
