	sgID	gene	Control_1	Control_2	Control_3	Control_4	Control_5	Model	Mean	Sample Variance	Model Variance	n	p
55	INTERGENIC47459	Intergenic	10535.8263378	5077.75344044	8916.55828438	3415.59364146	4922.12778577	Neg. Binomial	6573.57189797	7225322.52701	3098778.64744	13.9744442694	0.00212134284047
56	INTERGENIC50500	Intergenic	5980.58009578	3114.28272233	6671.25487987	2267.54293588	4385.70135313	Neg. Binomial	4483.8723974	2764461.1546	1443189.50452	13.9744442694	0.00310691865716
57	INTERGENIC53513	Intergenic	4073.30658047	4868.31656384	7207.19950499	1807.75148415	5244.08135508	Neg. Binomial	4640.13109771	3070065.80733	1545368.06194	13.9744442694	0.00300260579468
58	INTERGENIC7310	Intergenic	4909.9624583	4152.7405688	11255.9058105	7430.20130155	4629.48713627	Neg. Binomial	6475.65945508	7003523.36477	3007250.82946	13.9744442694	0.00215334863047
59	INTERGENIC9892	Intergenic	2276.00587384	2701.95387153	7508.03382596	4285.9131751	3086.65045662	Neg. Binomial	3971.71144061	3575066.66838	1132781.66362	13.9744442694	0.0035061579545
60	sgLAMP1_1	LAMP1	3808.07804188	6004.94794621	2008.05573397	2406.76550279	6187.95737315	Neg. Binomial	4083.1609196	3063093.44021	1197132.61419	13.9744442694	0.00341078412801
61	sgLAMP1_2	LAMP1	5148.23687712	5471.53840112	2491.10054065	5918.03003638	5385.76046752	Neg. Binomial	4882.93326456	1492393.26317	1711071.51626	13.9744442694	0.00285372833231
62	sgLAMP1_3	LAMP1	7428.55541012	9575.19220197	6780.26056634	6904.01139483	9370.8519165	Neg. Binomial	8011.77429795	1475055.30153	4601291.2038	13.9744442694	0.0017412013157
63	sgLAMP1_4	LAMP1	6766.56222844	10587.4704389	7485.59147875	5082.69463493	11437.4127635	Neg. Binomial	8271.9463089	5687538.25207	4904716.80081	13.9744442694	0.00168652883435
64	sgLAMP1_5	LAMP1	5215.08309416	7288.83963244	5849.9718402	8479.72526747	10067.0337621	Neg. Binomial	7380.13071927	3093141.52175	3904946.88783	13.9744442694	0.00188994394322
65	sgLAT_1	LAT	2733.14774523	2207.8137408	5773.56099135	19627.5260864	3021.1849357	Neg. Binomial	6672.6466999	43484962.6824	3192789.61302	13.9744442694	0.00208991117758
66	sgLAT_2	LAT	5918.04653791	3308.44816001	9837.76320331	11975.9966015	4058.86229719	Neg. Binomial	7019.82335998	11251989.3233	3533308.17196	13.9744442694	0.00198675660835
67	sgLAT_3	LAT	778.434979116	3040.10716187	1859.50876908	3457.71739247	1108.02836904	Neg. Binomial	2048.75933432	1100489.56354	302412.389474	13.9744442694	0.0067747202351
68	sgLAT_4	LAT	4410.77216006	3882.21793652	14686.3788845	13316.8170151	2083.66005025	Neg. Binomial	7675.96920929	27458598.0006	4223979.82831	13.9744442694	0.00181723623722
69	sgLAT_5	LAT	2077.62355229	4964.30846561	8848.16255954	14515.5590143	4465.82333396	Neg. Binomial	6974.29538514	18938381.9597	3487670.57078	13.9744442694	0.0019997001562
70	sgMS4A6A_1	MS4A6A	4795.67699045	8284.75561334	9031.97607005	6762.64694228	7321.3902727	Neg. Binomial	7239.28917776	2102379.05882	3757464.11307	13.9744442694	0.00192664226721
71	sgMS4A6A_2	MS4A6A	4396.75601778	5639.52422923	2401.33115179	4437.27309399	5702.8285502	Neg. Binomial	4515.5426086	1432621.80916	1463616.50269	13.9744442694	0.00308519519991
72	sgMS4A6A_3	MS4A6A	5147.15871233	6019.12856806	3809.32126861	3936.07185312	7311.61929943	Neg. Binomial	5244.65994031	1730845.8043	1973584.67828	13.9744442694	0.002657428383
73	sgMS4A6A_4	MS4A6A	6308.34219225	4096.01808138	5533.64161281	2307.52480125	2823.32272694	Neg. Binomial	4213.76988293	2342054.72682	1274808.59884	13.9744442694	0.00330541375918
74	sgMS4A6A_5	MS4A6A	14950.9111571	17719.2324138	9736.23829925	14808.9973476	17386.9583888	Neg. Binomial	14920.4675213	8161249.43286	15945453.8585	13.9744442694	0.000935719212115
75	sgMYO1E_1	MYO1E	3809.15620667	8929.42849912	13213.1990925	8066.34133804	6685.2999127	Neg. Binomial	8140.68500981	9447665.98917	4750422.4639	13.9744442694	0.00171367600917
76	sgMYO1E_2	MYO1E	4529.37028707	5791.14780135	5052.19983093	2781.59549062	3940.63352059	Neg. Binomial	4418.98938611	1041168.24606	1401788.84668	13.9744442694	0.00315239302735
77	sgMYO1E_3	MYO1E	4632.87410701	6752.15763616	5044.71904853	5025.57768441	5904.1105996	Neg. Binomial	5471.88781514	582303.448082	2148065.58845	13.9744442694	0.00254735602328
78	sgMYO1E_4	MYO1E	6390.28271637	4749.41750369	12087.8756822	6390.67280198	4669.05957802	Neg. Binomial	6857.46165645	7405266.53687	3371912.94888	13.9744442694	0.00203370067982
79	sgMYO1E_5	MYO1E	5073.84350654	5978.76833663	8950.2218052	5540.34420102	5442.4321125	Neg. Binomial	6197.12199238	1977981.06742	2754379.46456	13.9744442694	0.00224991584206
80	sgNDFIP2_1	NDFIP2	6230.7143273	8062.22893196	5011.58986931	7681.51588387	5954.43111195	Neg. Binomial	6588.09602488	1276651.87479	3112472.5517	13.9744442694	0.00211667602379
81	sgNDFIP2_2	NDFIP2	3732.60650651	2947.38771129	2249.04379571	2610.95860092	3351.44383229	Neg. Binomial	2978.28808934	275184.901839	637722.666622	13.9744442694	0.00467019324422
82	sgNDFIP2_3	NDFIP2	2897.02879347	5232.64946375	3446.503322	1325.1132522	4129.70185341	Neg. Binomial	3406.19933697	1690234.86054	833649.871248	13.9744442694	0.0040858871985
83	sgNDFIP2_4	NDFIP2	7011.305636	8546.55170909	7132.92602254	7704.36266408	5584.59977361	Neg. Binomial	7195.94916106	943424.705714	3712651.66034	13.9744442694	0.00193822362543
84	sgNDFIP2_5	NDFIP2	8054.96915371	5545.71396159	5057.00890534	3749.01384015	5206.46310798	Neg. Binomial	5522.63379375	1975150.6497	2188041.19639	13.9744442694	0.00252400814156
85	sgNTRK1_1	NTRK1	4145.54362147	5887.13970312	4090.91929198	2571.69069743	4097.94619027	Neg. Binomial	4158.64790085	1102912.13205	1241728.60273	13.9744442694	0.0033490795748
86	sgNTRK1_2	NTRK1	3410.23523399	5430.08735263	3609.4775101	2508.86205186	5014.95203185	Neg. Binomial	3994.72283609	1159792.17911	1145922.81883	13.9744442694	0.00348603131942
87	sgNTRK1_3	NTRK1	5955.78230559	9447.56660529	3944.50969349	7972.09836967	9305.38639558	Neg. Binomial	7325.06867392	4429685.47065	3846950.46223	13.9744442694	0.00190412347282
88	sgNTRK1_4	NTRK1	2748.24205231	2604.87115269	3274.9796683	2354.64628543	4814.15853111	Neg. Binomial	3159.37953797	775153.219095	717440.310679	13.9744442694	0.00440368277464
89	sgNTRK1_5	NTRK1	1224.7952026	3163.36949028	2332.93542695	3654.0569099	1719.69129587	Neg. Binomial	2418.96966512	800403.275338	421141.469678	13.9744442694	0.00574384105885
90	sgOAS1_1	OAS1	4730.98710299	4234.55184872	1612.64294974	2929.3856001	5093.60836669	Neg. Binomial	3720.23517365	1647936.61251	994110.227107	13.9744442694	0.00374227633134
91	sgOAS1_2	OAS1	3349.8580057	4160.37628825	3729.17002857	2144.02753037	3647.50432243	Neg. Binomial	3406.18723506	465514.610347	833643.959603	13.9744442694	0.00408590165601
92	sgOAS1_3	OAS1	5836.10601379	5637.3425951	5473.79535358	13248.2766745	6221.66723094	Neg. Binomial	7283.43757358	8957172.80938	3803388.80431	13.9744442694	0.00191498633149
93	sgOAS1_4	OAS1	6067.91144386	5643.88749749	3282.46045071	3634.06597722	5382.34062688	Neg. Binomial	4802.13319923	1264234.36401	1654991.78072	13.9744442694	0.00290160546728
94	sgOAS1_5	OAS1	2286.78752175	4188.73753196	1182.49796149	5465.37820346	2963.04764473	Neg. Binomial	3217.28977268	2213692.71102	743923.201352	13.9744442694	0.00432476062964
95	sgP2RY1_1	P2RY1	4980.04316972	5027.57585542	5854.7809146	3454.86154494	4501.48738641	Neg. Binomial	4763.74977422	617741.188029	1628678.91047	13.9744442694	0.00292491647285
96	sgP2RY1_2	P2RY1	5345.54103387	3957.48431405	5849.4374986	3229.96355225	2605.91857164	Neg. Binomial	4197.66899408	1514752.26445	1265101.11848	13.9744442694	0.00331805018016
97	sgP2RY1_3	P2RY1	14478.6749786	12148.4296598	14432.5666244	8102.03943211	10166.6976895	Neg. Binomial	11865.6816769	6109625.65729	10086999.9012	13.9744442694	0.00117633407288
98	sgP2RY1_4	P2RY1	5906.1867252	7353.19783931	12540.9973593	2228.2750324	5422.89016596	Neg. Binomial	6690.30942443	11360184.2523	3209697.12184	13.9744442694	0.00208440521659
99	sgP2RY1_5	P2RY1	10449.5731546	8358.93117381	5437.99446636	9186.54753023	6459.59043011	Neg. Binomial	7978.52735102	3294312.77858	4563215.03363	13.9744442694	0.00174844430784
100	sgPDE7B_1	PDE7B	6718.04481284	5723.51714328	4288.62568409	3907.51337786	5166.40211757	Neg. Binomial	5160.82062713	1014621.75332	1911073.43024	13.9744442694	0.00270048264262
101	sgPDE7B_2	PDE7B	5638.80185703	5110.47795241	5983.02289867	7089.64148404	8095.73990451	Neg. Binomial	6383.53681933	1153188.72916	2922388.03318	13.9744442694	0.00218435633696
102	sgPDE7B_3	PDE7B	17651.7139586	16054.6455717	7855.35586616	14348.491934	17538.4084746	Neg. Binomial	14689.723161	13115285.1519	15456303.1703	13.9744442694	0.000950403404949
103	sgPDE7B_4	PDE7B	6970.33537394	9096.32351016	5280.89803587	7909.98368597	7040.9633398	Neg. Binomial	7259.70078915	1568657.92338	3778662.30771	13.9744442694	0.00192123566436
104	sgPDE7B_5	PDE7B	6216.69818502	5291.5535853	4340.99116092	5396.83786283	5035.47107572	Neg. Binomial	5256.31037396	365982.812823	1982350.94217	13.9744442694	0.00265155390105
105	sgPHEX_1	PHEX	8844.18578073	6602.71569817	2245.8377461	3326.34840626	7129.87919657	Neg. Binomial	5629.79336557	6057233.65588	2273667.98708	13.9744442694	0.00247608419415
106	sgPHEX_2	PHEX	5639.88002182	3076.10412503	3633.52288211	4328.75088799	6341.36165352	Neg. Binomial	4603.92391409	1488705.32411	1521380.90611	13.9744442694	0.00302614808403
107	sgPHEX_3	PHEX	7673.29881768	5878.4131666	4049.77498875	3927.50431054	11952.343055	Neg. Binomial	6696.26686771	8783955.67153	3215409.90866	13.9744442694	0.00208255465336
108	sgPHEX_4	PHEX	7391.89780723	5928.59075162	7481.85108755	4809.96119617	6183.56043518	Neg. Binomial	6359.17225555	988644.93488	2900146.64574	13.9744442694	0.00219270713944
109	sgPHEX_5	PHEX	2106.73400165	2962.65915021	1.06868320062	2061.20795211	4214.22077221	Neg. Binomial	2269.17811188	1895613.39156	370739.594835	13.9744442694	0.00612067915996
110	sgPHLDA1_1	PHLDA1	5459.82650172	7742.61953173	3219.40814187	4876.35965116	6488.90334993	Neg. Binomial	5557.42343528	2316485.07261	2215659.99665	13.9744442694	0.00250824740425
111	sgPHLDA1_2	PHLDA1	4549.8554181	4390.5386891	7717.49573328	4464.40364549	3548.81749239	Neg. Binomial	4934.22219567	2066003.36443	1747153.677	13.9744442694	0.00282414893471
112	sgPHLDA1_3	PHLDA1	4848.50706521	4637.06334593	5006.24645331	4812.10308182	3828.26732797	Neg. Binomial	4626.43745485	173045.99464	1536274.00146	13.9744442694	0.00301146634678
113	sgPHLDA1_4	PHLDA1	7415.61743263	6270.01649315	9058.69315006	12474.3419949	4075.96150041	Neg. Binomial	7858.92611423	7954696.46647	4427549.50402	13.9744442694	0.00177500581464
114	sgPHLDA1_5	PHLDA1	4567.10605476	3694.59740124	4754.03721796	3180.70018242	2753.46026805	Neg. Binomial	3789.98022489	597604.823093	1031662.70476	13.9744442694	0.00367366214501
115	sgPLS3_1	PLS3	8028.01503393	6751.06681909	7181.55110817	10488.8140022	7958.9462787	Neg. Binomial	8081.67864842	1678600.21172	4681865.37388	13.9744442694	0.00172616638947
116	sgPLS3_2	PLS3	6654.43309017	6172.93377431	6393.93158931	7267.41799255	8611.64729327	Neg. Binomial	7020.07274792	767535.750776	3533558.97734	13.9744442694	0.00198668616908
117	sgPLS3_3	PLS3	8872.2180653	5392.9995724	16685.8851529	6635.56172736	4253.3046653	Neg. Binomial	8367.99383665	19644827.3768	5019180.55284	13.9744442694	0.00166720319155
118	sgPLS3_4	PLS3	1628.02883444	2057.28098575	7279.33562103	4179.53285474	2418.80443348	Neg. Binomial	3512.59654589	4299809.46481	886433.896049	13.9744442694	0.00396261533042
119	sgPLS3_5	PLS3	5755.24365446	5226.10456136	4977.39200689	6151.49557165	3256.66539155	Neg. Binomial	5073.38023718	992052.336825	1846948.91638	13.9744442694	0.00274689797438
120	sgPTMS_1	PTMS	5996.75256765	2372.52711771	1269.06130074	3853.25227486	3807.74828409	Neg. Binomial	3459.86830901	2538699.87543	860072.731398	13.9744442694	0.00402276247427
121	sgPTMS_2	PTMS	2425.87077979	2092.18713185	1468.37071765	1580.71160581	3639.19899515	Neg. Binomial	2241.26784605	608843.863545	361703.25867	13.9744442694	0.00619642702223
122	sgPTMS_3	PTMS	3619.39920345	3973.84657003	3551.23427566	9716.30724636	5482.00455425	Neg. Binomial	5268.55836995	5434647.19747	1991587.78241	13.9744442694	0.00264540605063
123	sgPTMS_4	PTMS	3767.10777982	3606.24121892	1355.09029839	2125.46452145	2926.89504362	Neg. Binomial	2756.15977244	826915.408567	546349.632598	13.9744442694	0.00504468129563
124	sgPTMS_5	PTMS	1216.16988427	2027.82892498	2277.36390052	1000.26059609	2637.18568611	Neg. Binomial	1831.76179839	391211.768924	241938.002975	13.9744442694	0.00757120326642
125	sgPTPN22_1	PTPN22	8671.67941417	9241.40217989	8058.40567428	7857.15050673	9096.28756756	Neg. Binomial	8584.98506853	301371.717393	5282638.62226	13.9744442694	0.00162513199982
126	sgPTPN22_2	PTPN22	4952.01088515	7129.58034086	5178.30444861	6085.81107855	6245.60611546	Neg. Binomial	5918.26257373	616739.476272	2512338.64082	13.9744442694	0.00235567868024
127	sgPTPN22_3	PTPN22	5836.10601379	3152.46131963	4655.7183635	7328.10475249	2443.72041532	Neg. Binomial	4683.22217295	3136779.67641	1574160.29749	13.9744442694	0.00297506053253
128	sgPTPN22_4	PTPN22	6631.79162956	4352.3600918	5187.38825581	2896.54335355	5326.15753056	Neg. Binomial	4878.84817226	1514963.10056	1708213.80941	13.9744442694	0.00285611095367
129	sgPTPN22_5	PTPN22	2052.8257621	2949.56934542	1928.97317712	1438.63319137	2504.78899827	Neg. Binomial	2174.95809486	265282.05286	340681.636656	13.9744442694	0.00638413656868
130	sgRYR1_1	RYR1	3250.66684492	4662.15213844	4774.34219877	5464.66424158	4078.40424373	Neg. Binomial	4446.04593349	551231.032926	1418979.89512	13.9744442694	0.00313326915256
131	sgRYR1_2	RYR1	4748.23773965	3520.06667074	4584.11658906	2466.73830084	5898.7365643	Neg. Binomial	4243.57917292	1358165.1633	1292879.02325	13.9744442694	0.00328227088274
132	sgRYR1_3	RYR1	3798.37455876	4367.63153072	1857.90574428	5027.00560817	4391.07538843	Neg. Binomial	3888.39856607	1181955.92794	1085837.92852	13.9744442694	0.00358101192079
133	sgRYR1_4	RYR1	4978.96500493	3757.86479104	1155.24653987	4854.94079471	3367.56593819	Neg. Binomial	3622.91661375	1905912.27866	942874.920996	13.9744442694	0.00384241486657
134	sgRYR1_5	RYR1	7922.35488441	6793.60868465	10361.4179716	4221.65660575	4552.78499608	Neg. Binomial	6770.3646285	5127371.59204	3286889.15283	13.9744442694	0.00205980923411
135	sgSERPINE1_1	SERPINE1	1102.96258121	2271.08113061	1830.11998106	2229.70295616	2557.55225394	Neg. Binomial	1998.2837806	254126.713563	287744.034439	13.9744442694	0.00694465754779
136	sgSERPINE1_2	SERPINE1	5388.66762551	3970.57411884	5267.00515426	2776.59775745	3143.3221016	Neg. Binomial	4109.23335153	1141103.23216	1212443.41908	13.9744442694	0.00338921659094
137	sgSERPINE1_3	SERPINE1	6099.1782228	7964.05539605	5367.46137512	4380.87010535	6196.7512491	Neg. Binomial	6001.66326968	1385546.77361	2583561.19324	13.9744442694	0.00232301959225
138	sgSERPINE1_4	SERPINE1	3674.38560779	3048.83369839	3401.61862758	1799.89790345	4095.01489829	Neg. Binomial	3203.9501471	609960.511444	737780.320213	13.9744442694	0.00434268854742
139	sgSERPINE1_5	SERPINE1	9456.58338203	6128.21027462	3360.47432435	7724.35359676	7667.7712752	Neg. Binomial	6867.47857059	4184752.66894	3381761.03486	13.9744442694	0.00203074034499
140	sgSH3BGRL2_1	SH3BGRL2	8097.01758056	6369.28084612	10519.0487437	6527.03952136	6837.23854708	Neg. Binomial	7669.92504776	2398228.66809	4217336.44947	13.9744442694	0.0018186656767
141	sgSH3BGRL2_2	SH3BGRL2	5551.47050896	5445.35879155	6248.59067403	2722.33665445	6605.17793187	Neg. Binomial	5314.58691217	1866192.94576	2026492.20961	13.9744442694	0.00262255482008
